name,birthday,nationality
Leonardo DiCaprio,1974-11-11,USA
Brad Pitt,1963-12-18,USA
Johnny Depp,1963-06-09,USA
Robert Downey Jr.,1965-04-04,USA
Tom Cruise,1962-07-03,USA
Will Smith,1968-09-25,USA
Denzel Washington,1954-12-28,USA
Morgan Freeman,1937-06-01,USA
Al Pacino,1940-04-25,USA
Robert De Niro,1943-08-17,USA
Mark Wahlberg,1971-06-05,USA
Matt Damon,1970-10-08,USA
Wagner Moura,1976-06-27,BR
Rodrigo Santoro,1975-08-22,BR
Selton Mello,1972-12-30,BR
Lázaro Ramos,1978-11-01,BR
Matheus Nachtergaele,1969-01-03,BR
Cauã Reymond,1980-05-20,BR
Chay Suede,1992-06-30,BR
Murilo Benício,1971-07-13,BR
